x_mm,r_mm
-215.6880,51.7939
-213.1937,51.7939
-210.6994,51.7939
-208.2051,51.7939
-205.7108,51.7939
-203.2165,51.7939
-200.7222,51.7939
-198.2279,51.7939
-195.7335,51.7939
-193.2392,51.7939
-190.7449,51.7939
-188.2506,51.7939
-185.7563,51.7939
-183.2620,51.7939
-180.7677,51.7939
-178.2733,51.7939
-175.7790,51.7939
-173.2847,51.7939
-170.7904,51.7939
-168.2961,51.7939
-165.8018,51.7939
-163.3075,51.7939
-160.8131,51.7939
-158.3188,51.7939
-155.8245,51.7939
-153.3302,51.7939
-150.8359,51.7939
-148.3416,51.7939
-145.8473,51.7939
-143.3530,51.7939
-140.8586,51.7939
-138.3643,51.7939
-135.8700,51.7939
-133.3757,51.7939
-130.8814,51.7939
-128.3871,51.7939
-125.8928,51.7939
-123.3984,51.7939
-120.9041,51.7939
-118.4098,51.7939
-115.9155,51.7939
-113.4212,51.7939
-110.9269,51.7939
-108.4326,51.7939
-105.9382,51.7939
-103.4439,51.7939
-100.9496,51.7939
-98.4553,51.7939
-95.9610,51.7939
-93.4667,51.7939
-90.9724,51.7939
-88.4781,51.7939
-85.9837,51.7939
-83.4894,51.7939
-80.9951,51.7939
-78.5008,51.7939
-76.0065,51.7939
-73.5122,51.7939
-71.0179,51.7939
-68.5235,51.7939
-68.2937,51.7929
-68.0639,51.7899
-67.8342,51.7848
-67.6044,51.7776
-67.3748,51.7684
-67.1453,51.7572
-66.9158,51.7440
-66.6865,51.7287
-66.4573,51.7114
-66.2283,51.6920
-65.9995,51.6706
-65.7709,51.6472
-65.5425,51.6218
-65.3143,51.5943
-65.0864,51.5648
-64.8587,51.5333
-64.6313,51.4998
-64.4043,51.4642
-64.1775,51.4267
-63.9512,51.3871
-63.7251,51.3455
-63.4995,51.3019
-63.2742,51.2563
-63.0494,51.2087
-62.8250,51.1592
-62.6010,51.1076
-62.3775,51.0541
-62.1545,50.9985
-61.9320,50.9410
-61.7100,50.8815
-61.4885,50.8201
-61.2676,50.7567
-61.0473,50.6913
-60.8276,50.6240
-60.6084,50.5547
-60.3899,50.4835
-60.1720,50.4103
-59.9548,50.3353
-59.7383,50.2582
-59.5224,50.1793
-59.3073,50.0985
-59.0929,50.0157
-58.8792,49.9311
-58.6663,49.8446
-58.4542,49.7562
-58.2428,49.6659
-58.0323,49.5737
-57.8226,49.4796
-57.6137,49.3838
-57.4057,49.2860
-57.1986,49.1864
-56.9924,49.0850
-56.7870,48.9818
-56.5826,48.8767
-56.3792,48.7698
-56.1767,48.6611
-55.9751,48.5507
-55.7746,48.4384
-55.5751,48.3244
-54.9019,47.9357
-54.2287,47.5471
-53.5556,47.1584
-52.8824,46.7698
-52.2093,46.3811
-51.5361,45.9925
-50.8629,45.6039
-50.1898,45.2152
-49.5166,44.8266
-48.8435,44.4379
-48.1703,44.0493
-47.4971,43.6606
-46.8240,43.2720
-46.1508,42.8833
-45.4777,42.4947
-44.8045,42.1060
-44.1313,41.7174
-43.4582,41.3287
-42.7850,40.9401
-42.1118,40.5514
-41.4387,40.1628
-40.7655,39.7741
-40.0924,39.3855
-39.4192,38.9968
-38.7460,38.6082
-38.0729,38.2195
-37.3997,37.8309
-36.7266,37.4422
-36.0534,37.0536
-35.3802,36.6649
-34.7071,36.2763
-34.0339,35.8876
-33.3608,35.4990
-32.6876,35.1103
-32.0144,34.7217
-31.3413,34.3330
-30.6681,33.9444
-29.9950,33.5557
-29.3218,33.1671
-28.6486,32.7784
-27.9755,32.3898
-27.3023,32.0011
-26.6292,31.6125
-25.9560,31.2238
-25.2828,30.8352
-24.6097,30.4465
-23.9365,30.0579
-23.2634,29.6692
-22.5902,29.2806
-21.9170,28.8919
-21.2439,28.5033
-20.5707,28.1146
-19.8976,27.7260
-19.2244,27.3373
-18.5512,26.9487
-17.8781,26.5600
-17.2049,26.1714
-16.5317,25.7827
-15.8586,25.3941
-15.6142,25.2544
-15.3686,25.1169
-15.1218,24.9817
-14.8737,24.8486
-14.6246,24.7177
-14.3742,24.5890
-14.1227,24.4625
-13.8702,24.3383
-13.6165,24.2164
-13.3617,24.0966
-13.1059,23.9792
-12.8491,23.8640
-12.5912,23.7511
-12.3324,23.6405
-12.0726,23.5323
-11.8118,23.4263
-11.5501,23.3226
-11.2875,23.2213
-11.0241,23.1223
-10.7597,23.0256
-10.4945,22.9313
-10.2285,22.8393
-9.9616,22.7497
-9.6940,22.6625
-9.4256,22.5777
-9.1565,22.4952
-8.8866,22.4152
-8.6161,22.3375
-8.3449,22.2622
-8.0730,22.1894
-7.8005,22.1190
-7.5273,22.0509
-7.2536,21.9854
-6.9793,21.9222
-6.7045,21.8615
-6.4291,21.8032
-6.1532,21.7474
-5.8768,21.6940
-5.6000,21.6431
-5.3227,21.5946
-5.0450,21.5486
-4.7670,21.5051
-4.4885,21.4640
-4.2097,21.4254
-3.9305,21.3893
-3.6511,21.3556
-3.3713,21.3245
-3.0913,21.2958
-2.8111,21.2696
-2.5306,21.2459
-2.2499,21.2247
-1.9691,21.2060
-1.6881,21.1897
-1.4069,21.1760
-1.1257,21.1648
-0.8443,21.1560
-0.5629,21.1498
-0.2815,21.1460
0.0000,21.1448
0.0534,21.1450
0.1067,21.1455
0.1601,21.1464
0.2134,21.1476
0.2667,21.1492
0.3201,21.1511
0.3734,21.1534
0.4267,21.1561
0.4799,21.1591
0.5332,21.1624
0.5864,21.1661
0.6396,21.1701
