name                              E5-75
propellants                       LOX / Ethanol-75
thrust_N                          5,000.000
chamber_pressure_bar              25.000
mixture_ratio                     1.300
chamber_temperature_K             3,080.703
gamma_frozen                      1.188
cstar_ideal_m_s                   1,655.784
cstar_delivered_m_s               1,540.873
thrust_coefficient                1.424
isp_ideal_s                       245.178
isp_delivered_s                   223.728
isp_vac_ideal_s                   278.223
mdot_total_kg_s                   2.279
mdot_ox_kg_s                      1.288
mdot_fuel_kg_s                    0.991
area_ratio                        4.526
exit_pressure_bar                 1.013
throat_diameter_mm                42.290
chamber_diameter_mm               103.588
exit_diameter_mm                  89.968
chamber_length_mm                 215.688
nozzle_length_mm                  71.175
overall_length_mm                 286.863
bell_type                         rao
bell_theta_n_deg                  22.330
bell_theta_e_deg                  13.446
eta_cf_used                       0.971
injector_ox_orifice_mm            2.082
injector_fuel_orifice_mm          1.926
injector_ox_velocity_m_s          20.723
injector_fuel_velocity_m_s        24.262
injector_resultant_angle_deg      2.573
nozzle_moc_vacuum_efficiency      0.983
nozzle_moc_momentum_efficiency    0.981
nozzle_moc_weak_shock_merges      20
film_fraction_of_fuel             0.050
film_mixing_coefficient           0.010
film_core_mixture_ratio           1.368
film_core_temperature_K           3,109.684
film_wall_layer_of_at_throat      0.905
film_core_entrained_at_throat     0.103
film_isp_penalty_pct              0.838
injector_film_orifices            32
injector_film_orifice_mm          0.312
cooling_max_heat_flux_MW_m2       15.723
cooling_max_hot_wall_T_K          657.434
cooling_max_hot_wall_x_mm         8.833
cooling_coolant_T_in_K            298.150
cooling_coolant_T_out_K           391.422
cooling_coolant_dp_bar            3.371
cooling_max_coolant_velocity_m_s  22.194
cooling_min_channel_width_mm      0.907
cooling_total_heat_load_kW        277.252
